OrderID,Date,CustomerID,Region,Category,Channel,Units,Revenue,Cost,Profit
10049,2025-05-06,C009,Kyiv,Wellness,Partner,5,7644.00,4280.64,3363.36
10050,2025-05-08,C012,West,Diagnostics,Online,1,1675.80,1008.90,666.90
10051,2025-05-10,C015,Central,Corporate,Direct,2,5040.92,3255.60,1785.32
10052,2025-05-12,C018,South,Wellness,Partner,3,3622.01,2504.58,1117.43
10053,2025-05-14,C021,Kyiv,Diagnostics,Online,4,7387.20,4136.83,3250.37
10054,2025-05-16,C024,West,Corporate,Direct,5,12892.88,7762.04,5130.84
10055,2025-05-18,C027,Central,Wellness,Partner,1,1055.81,681.88,373.93
10056,2025-05-20,C030,South,Diagnostics,Online,2,2931.90,2027.38,904.52
10057,2025-05-22,C033,Kyiv,Corporate,Direct,3,10090.08,5650.44,4439.64
10058,2025-05-24,C036,West,Wellness,Partner,4,5096.00,3068.00,2028.00
10059,2025-05-02,C039,Central,Diagnostics,Online,5,7534.94,4866.32,2668.62
10060,2025-05-04,C042,South,Corporate,Direct,1,2656.14,1836.69,819.45
10061,2025-06-07,C011,West,Corporate,Direct,1,2745.60,1687.40,1058.20
10062,2025-06-09,C014,Central,Wellness,Partner,2,2243.59,1479.82,763.77
10063,2025-06-11,C017,South,Diagnostics,Online,3,5068.44,3294.49,1773.95
10064,2025-06-13,C020,Kyiv,Corporate,Direct,4,12108.10,6918.91,5189.19
10065,2025-06-15,C023,West,Wellness,Partner,5,5740.80,3528.20,2212.60
10066,2025-06-17,C026,Central,Diagnostics,Online,1,1359.86,896.93,462.93
10067,2025-06-19,C029,South,Corporate,Direct,2,5216.64,3390.82,1825.82
10068,2025-06-21,C032,Kyiv,Wellness,Partner,3,4494.67,2568.38,1926.29
10069,2025-06-23,C035,West,Diagnostics,Online,4,6566.40,4035.60,2530.80
10070,2025-06-25,C038,Central,Corporate,Direct,5,12339.76,8138.99,4200.77
10071,2025-06-03,C041,South,Wellness,Partner,1,1284.40,834.86,449.54
10072,2025-06-05,C044,Kyiv,Diagnostics,Online,2,3619.73,2068.42,1551.31
10073,2025-07-08,C013,Central,Diagnostics,Online,2,3139.56,1946.53,1193.03
10074,2025-07-10,C016,South,Corporate,Direct,3,8307.50,5510.08,2797.42
10075,2025-07-12,C019,Kyiv,Wellness,Partner,4,5391.36,3144.96,2246.40
10076,2025-07-14,C022,West,Diagnostics,Online,5,7394.04,4640.94,2753.10
10077,2025-07-16,C025,Central,Corporate,Direct,1,2419.56,1500.13,919.43
10078,2025-07-18,C028,South,Wellness,Partner,2,2323.78,1541.28,782.50
10079,2025-07-20,C031,Kyiv,Diagnostics,Online,3,5791.56,3378.41,2413.15
10080,2025-07-22,C034,West,Corporate,Direct,4,10753.60,6749.60,4004.00
10081,2025-07-24,C037,Central,Wellness,Partner,5,5967.00,3699.54,2267.46
10082,2025-07-02,C040,South,Diagnostics,Online,1,1655.69,1098.16,557.53
10083,2025-07-04,C043,Kyiv,Corporate,Direct,2,5930.50,3459.46,2471.04
10084,2025-07-06,C046,West,Wellness,Partner,3,3372.72,2116.92,1255.80
10085,2025-08-09,C015,South,Wellness,Partner,3,3699.07,2504.58,1194.49
10086,2025-08-11,C018,Kyiv,Diagnostics,Online,4,6943.97,4136.83,2807.14
10087,2025-08-13,C021,West,Corporate,Direct,5,13156.00,7762.04,5393.96
10088,2025-08-15,C024,Central,Wellness,Partner,1,1077.80,681.88,395.92
10089,2025-08-17,C027,South,Diagnostics,Online,2,2994.28,2027.38,966.90
10090,2025-08-19,C030,Kyiv,Corporate,Direct,3,9484.68,5650.44,3834.24
10091,2025-08-21,C033,West,Wellness,Partner,4,5200.00,3068.00,2132.00
10092,2025-08-23,C036,Central,Diagnostics,Online,5,7691.92,4866.32,2825.60
10093,2025-08-25,C039,South,Corporate,Direct,1,2712.65,1836.69,875.96
10094,2025-08-03,C042,Kyiv,Wellness,Partner,2,2639.52,1572.48,1067.04
10095,2025-08-05,C045,West,Diagnostics,Online,3,4719.60,2784.56,1935.04
10096,2025-08-07,C048,Central,Corporate,Direct,4,9484.68,6000.51,3484.17
10097,2025-09-10,C017,Kyiv,Corporate,Direct,4,12355.20,6918.91,5436.29
10098,2025-09-12,C020,West,Wellness,Partner,5,5860.40,3528.20,2332.20
10099,2025-09-14,C023,Central,Diagnostics,Online,1,1388.79,896.93,491.86
10100,2025-09-16,C026,South,Corporate,Direct,2,4903.64,3390.82,1512.82
10101,2025-09-18,C029,Kyiv,Wellness,Partner,3,4586.40,2568.38,2018.02
10102,2025-09-20,C032,West,Diagnostics,Online,4,6703.20,4035.60,2667.60
10103,2025-09-22,C035,Central,Corporate,Direct,5,12602.30,8138.99,4463.31
10104,2025-09-24,C038,South,Wellness,Partner,1,1207.34,834.86,372.48
10105,2025-09-02,C041,Kyiv,Diagnostics,Online,2,3693.60,2068.42,1625.18
10106,2025-09-04,C044,West,Corporate,Direct,3,7735.73,4657.22,3078.51
10107,2025-09-06,C047,Central,Wellness,Partner,4,4223.23,2727.50,1495.73
10108,2025-09-08,C050,South,Diagnostics,Online,5,7329.74,5068.44,2261.30
10109,2025-10-11,C019,West,Diagnostics,Online,5,7551.36,4640.94,2910.42
10110,2025-10-13,C022,Central,Corporate,Direct,1,2274.39,1500.13,774.26
10111,2025-10-15,C025,South,Wellness,Partner,2,2371.20,1541.28,829.92
10112,2025-10-17,C028,Kyiv,Diagnostics,Online,3,5912.22,3378.41,2533.81
10113,2025-10-19,C031,West,Corporate,Direct,4,10982.40,6749.60,4232.80
10114,2025-10-21,C034,Central,Wellness,Partner,5,5608.98,3699.54,1909.44
10115,2025-10-23,C037,South,Diagnostics,Online,1,1689.48,1098.16,591.32
10116,2025-10-25,C040,Kyiv,Corporate,Direct,2,6054.05,3459.46,2594.59
10117,2025-10-03,C043,West,Wellness,Partner,3,3444.48,2116.92,1327.56
10118,2025-10-05,C046,Central,Diagnostics,Online,4,5439.44,3587.72,1851.72
10119,2025-10-07,C049,South,Corporate,Direct,5,13041.60,8477.04,4564.56
10120,2025-10-09,C052,Kyiv,Wellness,Partner,1,1498.22,856.13,642.09
10121,2025-11-12,C021,Central,Wellness,Partner,1,1099.80,681.88,417.92
10122,2025-11-14,C024,South,Diagnostics,Online,2,3056.66,2027.38,1029.28
10123,2025-11-16,C027,Kyiv,Corporate,Direct,3,9686.48,5650.44,4036.04
10124,2025-11-18,C030,West,Wellness,Partner,4,4888.00,3068.00,1820.00
10125,2025-11-20,C033,Central,Diagnostics,Online,5,7848.90,4866.32,2982.58
10126,2025-11-22,C036,South,Corporate,Direct,1,2769.17,1836.69,932.48
10127,2025-11-24,C039,Kyiv,Wellness,Partner,2,2695.68,1572.48,1123.20
10128,2025-11-02,C042,West,Diagnostics,Online,3,4436.42,2784.56,1651.86
10129,2025-11-04,C045,Central,Corporate,Direct,4,9678.24,6000.51,3677.73
10130,2025-11-06,C048,South,Wellness,Partner,5,5809.44,3853.20,1956.24
10131,2025-11-08,C051,Kyiv,Diagnostics,Online,1,1930.52,1126.14,804.38
10132,2025-11-10,C054,West,Corporate,Direct,2,5376.80,3374.80,2002.00
10133,2025-12-13,C023,South,Corporate,Direct,2,5007.97,3390.82,1617.15
10134,2025-12-15,C026,Kyiv,Wellness,Partner,3,4311.22,2568.38,1742.84
10135,2025-12-17,C029,West,Diagnostics,Online,4,6840.00,4035.60,2804.40
10136,2025-12-19,C032,Central,Corporate,Direct,5,12864.85,8138.99,4725.86
10137,2025-12-21,C035,South,Wellness,Partner,1,1233.02,834.86,398.16
10138,2025-12-23,C038,Kyiv,Diagnostics,Online,2,3471.98,2068.42,1403.56
10139,2025-12-25,C041,West,Corporate,Direct,3,7893.60,4657.22,3236.38
10140,2025-12-03,C044,Central,Wellness,Partner,4,4311.22,2727.50,1583.72
10141,2025-12-05,C047,South,Diagnostics,Online,5,7485.70,5068.44,2417.26
10142,2025-12-07,C050,Kyiv,Corporate,Direct,1,3161.56,1883.48,1278.08
10143,2025-12-09,C053,West,Wellness,Partner,2,2600.00,1534.00,1066.00
10144,2025-12-11,C056,Central,Diagnostics,Online,3,4615.15,2919.79,1695.36
10145,2026-01-14,C025,Kyiv,Diagnostics,Online,3,6032.88,3378.41,2654.47
10146,2026-01-16,C028,West,Corporate,Direct,4,11211.20,6749.60,4461.60
10147,2026-01-18,C031,Central,Wellness,Partner,5,5728.32,3699.54,2028.78
10148,2026-01-20,C034,South,Diagnostics,Online,1,1588.11,1098.16,489.95
10149,2026-01-22,C037,Kyiv,Corporate,Direct,2,6177.60,3459.46,2718.14
10150,2026-01-24,C040,West,Wellness,Partner,3,3516.24,2116.92,1399.32
10151,2026-01-02,C043,Central,Diagnostics,Online,4,5555.17,3587.72,1967.45
10152,2026-01-04,C046,South,Corporate,Direct,5,12259.10,8477.04,3782.06
10153,2026-01-06,C049,Kyiv,Wellness,Partner,1,1528.80,856.13,672.67
10154,2026-01-08,C052,West,Diagnostics,Online,2,3351.60,2017.80,1333.80
10155,2026-01-10,C055,Central,Corporate,Direct,3,7561.38,4883.39,2677.99
10156,2026-01-12,C058,South,Wellness,Partner,4,4829.34,3339.44,1489.90
10157,2026-02-15,C027,West,Wellness,Partner,4,4992.00,3068.00,1924.00
10158,2026-02-17,C030,Central,Diagnostics,Online,5,7377.97,4866.32,2511.65
10159,2026-02-19,C033,South,Corporate,Direct,1,2825.68,1836.69,988.99
10160,2026-02-21,C036,Kyiv,Wellness,Partner,2,2751.84,1572.48,1179.36
10161,2026-02-23,C039,West,Diagnostics,Online,3,4530.82,2784.56,1746.26
10162,2026-02-25,C042,Central,Corporate,Direct,4,9097.55,6000.51,3097.04
10163,2026-02-03,C045,South,Wellness,Partner,5,5928.00,3853.20,2074.80
10164,2026-02-05,C048,Kyiv,Diagnostics,Online,1,1970.74,1126.14,844.60
10165,2026-02-07,C051,West,Corporate,Direct,2,5491.20,3374.80,2116.40
10166,2026-02-09,C054,Central,Wellness,Partner,3,3365.39,2219.72,1145.67
10167,2026-02-11,C057,South,Diagnostics,Online,4,6757.92,4392.65,2365.27
10168,2026-02-13,C060,Kyiv,Corporate,Direct,5,15135.12,8648.64,6486.48
10169,2026-03-16,C029,Central,Corporate,Direct,5,13127.40,8138.99,4988.41
10170,2026-03-18,C032,South,Wellness,Partner,1,1258.71,834.86,423.85
10171,2026-03-20,C035,Kyiv,Diagnostics,Online,2,3545.86,2068.42,1477.44
10172,2026-03-22,C038,West,Corporate,Direct,3,7419.98,4657.22,2762.76
10173,2026-03-24,C041,Central,Wellness,Partner,4,4399.20,2727.50,1671.70
10174,2026-03-02,C044,South,Diagnostics,Online,5,7641.65,5068.44,2573.21
10175,2026-03-04,C047,Kyiv,Corporate,Direct,1,3228.83,1883.48,1345.35
10176,2026-03-06,C050,West,Wellness,Partner,2,2444.00,1534.00,910.00
10177,2026-03-08,C053,Central,Diagnostics,Online,3,4709.34,2919.79,1789.55
10178,2026-03-10,C056,South,Corporate,Direct,4,11076.67,7346.77,3729.90
10179,2026-03-12,C059,Kyiv,Wellness,Partner,5,6739.20,3931.20,2808.00
10180,2026-03-14,C002,West,Diagnostics,Online,1,1478.81,928.19,550.62
10181,2026-04-17,C031,South,Diagnostics,Online,1,1621.90,1098.16,523.74
10182,2026-04-19,C034,Kyiv,Corporate,Direct,2,5806.94,3459.46,2347.48
10183,2026-04-21,C037,West,Wellness,Partner,3,3588.00,2116.92,1471.08
10184,2026-04-23,C040,Central,Diagnostics,Online,4,5670.91,3587.72,2083.19
10185,2026-04-25,C043,South,Corporate,Direct,5,12519.94,8477.04,4042.90
10186,2026-04-03,C046,Kyiv,Wellness,Partner,1,1437.07,856.13,580.94
10187,2026-04-05,C049,West,Diagnostics,Online,2,3420.00,2017.80,1402.20
10188,2026-04-07,C052,Central,Corporate,Direct,3,7718.91,4883.39,2835.52
10189,2026-04-09,C055,South,Wellness,Partner,4,4932.10,3339.44,1592.66
10190,2026-04-11,C058,Kyiv,Diagnostics,Online,5,8679.96,5171.04,3508.92
10191,2026-04-13,C001,West,Corporate,Direct,1,2631.20,1552.41,1078.79
10192,2026-04-15,C004,Central,Wellness,Partner,2,2155.61,1363.75,791.86
10193,2026-05-18,C033,Kyiv,Wellness,Partner,2,2808.00,1572.48,1235.52
10194,2026-05-20,C036,West,Diagnostics,Online,3,4625.21,2784.56,1840.65
10195,2026-05-22,C039,Central,Corporate,Direct,4,9291.11,6000.51,3290.60
10196,2026-05-24,C042,South,Wellness,Partner,5,5572.32,3853.20,1719.12
10197,2026-05-02,C045,Kyiv,Diagnostics,Online,1,2010.96,1126.14,884.82
10198,2026-05-04,C048,West,Corporate,Direct,2,5605.60,3374.80,2230.80
10199,2026-05-06,C051,Central,Wellness,Partner,3,3436.99,2219.72,1217.27
10200,2026-05-08,C054,South,Diagnostics,Online,4,6352.44,4392.65,1959.79
10201,2026-05-10,C057,Kyiv,Corporate,Direct,5,15444.00,8648.64,6795.36
10202,2026-05-12,C060,West,Wellness,Partner,1,1172.08,705.64,466.44
10203,2026-05-14,C003,Central,Diagnostics,Online,2,2777.59,1793.86,983.73
10204,2026-05-16,C006,South,Corporate,Direct,3,7355.46,5086.22,2269.24
10205,2026-06-19,C035,West,Corporate,Direct,3,7577.86,4657.22,2920.64
10206,2026-06-21,C038,Central,Wellness,Partner,4,4135.25,2727.50,1407.75
10207,2026-06-23,C041,South,Diagnostics,Online,5,7797.60,5068.44,2729.16
10208,2026-06-25,C044,Kyiv,Corporate,Direct,1,3296.09,1883.48,1412.61
10209,2026-06-03,C047,West,Wellness,Partner,2,2496.00,1534.00,962.00
10210,2026-06-05,C050,Central,Diagnostics,Online,3,4426.78,2919.79,1506.99
10211,2026-06-07,C053,South,Corporate,Direct,4,11302.72,7346.77,3955.95
10212,2026-06-09,C056,Kyiv,Wellness,Partner,5,6879.60,3931.20,2948.40
10213,2026-06-11,C059,West,Diagnostics,Online,1,1510.27,928.19,582.08
10214,2026-06-13,C002,Central,Corporate,Direct,2,4548.77,3000.25,1548.52
10215,2026-06-15,C005,South,Wellness,Partner,3,3556.80,2311.92,1244.88
10216,2026-06-17,C008,Kyiv,Diagnostics,Online,4,7882.96,4504.55,3378.41
10217,2026-07-20,C037,Central,Diagnostics,Online,4,5786.64,3587.72,2198.92
10218,2026-07-22,C040,South,Corporate,Direct,5,12780.77,8477.04,4303.73
10219,2026-07-24,C043,Kyiv,Wellness,Partner,1,1467.65,856.13,611.52
10220,2026-07-02,C046,West,Diagnostics,Online,2,3214.80,2017.80,1197.00
10221,2026-07-04,C049,Central,Corporate,Direct,3,7876.44,4883.39,2993.05
10222,2026-07-06,C052,South,Wellness,Partner,4,5034.85,3339.44,1695.41
10223,2026-07-08,C055,Kyiv,Diagnostics,Online,5,8864.64,5171.04,3693.60
10224,2026-07-10,C058,West,Corporate,Direct,1,2473.33,1552.41,920.92
10225,2026-07-12,C001,Central,Wellness,Partner,2,2199.60,1363.75,835.85
10226,2026-07-14,C004,South,Diagnostics,Online,3,4584.99,3041.06,1543.93
10227,2026-07-16,C007,Kyiv,Corporate,Direct,4,12915.30,7533.93,5381.37
10228,2026-07-18,C010,West,Wellness,Partner,5,6110.00,3835.00,2275.00
10229,2026-08-21,C039,South,Wellness,Partner,5,5690.88,3853.20,1837.68
10230,2026-08-23,C042,Kyiv,Diagnostics,Online,1,1890.30,1126.14,764.16
10231,2026-08-25,C045,West,Corporate,Direct,2,5720.00,3374.80,2345.20
10232,2026-08-03,C048,Central,Wellness,Partner,3,3508.60,2219.72,1288.88
10233,2026-08-05,C051,South,Diagnostics,Online,4,6487.60,4392.65,2094.95
10234,2026-08-07,C054,Kyiv,Corporate,Direct,5,14517.36,8648.64,5868.72
10235,2026-08-09,C057,West,Wellness,Partner,1,1196.00,705.64,490.36
10236,2026-08-11,C060,Central,Diagnostics,Online,2,2835.45,1793.86,1041.59
10237,2026-08-13,C003,South,Corporate,Direct,3,7511.96,5086.22,2425.74
10238,2026-08-15,C006,Kyiv,Wellness,Partner,4,5748.29,3424.51,2323.78
10239,2026-08-17,C009,West,Diagnostics,Online,5,8550.00,5044.50,3505.50
10240,2026-08-19,C012,Central,Corporate,Direct,1,2572.97,1627.80,945.17
